| Tile | Up | Down | Left | Right |
|  0   |  0 |   0  |   0  |   0   |
|  1   |  1 |   0  |   3  |   2   |
|  2   |  3 |   2  |   0  |   1   |
|  3   |  0 |   1  |   2  |   3   |
|  4   |  2 |   3  |   1  |   0   |
|  5   |  5 |   2  |   3  |   6   |
|  6   |  3 |   6  |   2  |   5   |
|  7   |  2 |   5  |   6  |   3   |
|  8   |  6 |   3  |   5  |   2   |
|  9   |  1 |   1  |   4  |   4   |
|  10  |  4 |   4  |   1  |   1   |
|  11  |  4 |   7  |   6  |   5   |
|  12  |  6 |   5  |   7  |   4   |
|  13  |  7 |   4  |   5  |   6   |
|  14  |  5 |   6  |   4  |   7   |
|  15  |  7 |   7  |   7  |   7   |

Line up tile with facing direction to select the appropriate bg image
