| Tile | Top | Bot | Left | Right |
|  0   |  0  |  0  |   0  |   0   |
|  1   |  1  |  0  |   0  |   0   |
|  2   |  0  |  0  |   0  |   1   |
|  3   |  0  |  1  |   0  |   0   |
|  4   |  0  |  0  |   1  |   0   |
|  5   |  1  |  0  |   0  |   1   |
|  6   |  0  |  1  |   0  |   1   |
|  7   |  0  |  1  |   1  |   0   |
|  8   |  1  |  0  |   1  |   0   |
|  9   |  1  |  1  |   0  |   0   |
|  10  |  0  |  0  |   1  |   1   |
|  11  |  0  |  1  |   1  |   1   |
|  12  |  1  |  1  |   1  |   0   |
|  13  |  1  |  0  |   1  |   1   |
|  14  |  1  |  1  |   0  |   1   |
|  15  |  1  |  1  |   1  |   1   |

Line up tile index with wall booleans
